# Josev SECC log — live over-the-wire -20 DC session with OUR EVCC (plain TCP)
# SwitchEV/iso15118 @ d645255, host-mode, SECC_ENFORCE_TLS=False

secc-1   | INFO    2026-07-21 14:21:30,587 - iso15118.shared.states (139): Entered state SupportedAppProtocol
secc-1   | INFO    2026-07-21 14:21:30,646 - iso15118.shared.exi_codec (302): Decoded message (ns=urn:iso:15118:2:2010:AppProtocol): {"supportedAppProtocolReq":{"AppProtocol":[{"ProtocolNamespace":"urn:iso:std:iso:15118:-20:DC","VersionNumberMajor":1,"VersionNumberMinor":0,"SchemaID":1,"Priority":1}]}}
secc-1   | INFO    2026-07-21 14:21:30,646 - iso15118.shared.comm_session (235): supportedAppProtocolReq received
secc-1   | INFO    2026-07-21 14:21:30,652 - iso15118.secc.states.sap_states (147): Chosen protocol: ISO_15118_20_DC
secc-1   | INFO    2026-07-21 14:21:30,653 - iso15118.shared.comm_session (431): Sent supportedAppProtocolRes
secc-1   | INFO    2026-07-21 14:21:30,653 - iso15118.shared.states (139): Entered state SessionSetup
secc-1   | INFO    2026-07-21 14:21:30,829 - iso15118.shared.exi_codec (302): Decoded message (ns=urn:iso:std:iso:15118:-20:CommonMessages): {"SessionSetupReq":{"Header":{"SessionID":"0000000000000000","TimeStamp":1784643690},"EVCCID":"EVCC01"}}
secc-1   | INFO    2026-07-21 14:21:30,830 - iso15118.shared.comm_session (235): SessionSetupReq received
secc-1   | WARNING    2026-07-21 14:21:30,830 - iso15118.secc.states.iso15118_20_states (161): EVCC's session ID 0000000000000000 does not match . New session ID 629F4C9D851C2ADB assigned
secc-1   | INFO    2026-07-21 14:21:30,949 - iso15118.shared.comm_session (431): Sent SessionSetupRes
secc-1   | INFO    2026-07-21 14:21:30,950 - iso15118.shared.states (139): Entered state AuthorizationSetup
secc-1   | INFO    2026-07-21 14:21:31,118 - iso15118.shared.exi_codec (302): Decoded message (ns=urn:iso:std:iso:15118:-20:CommonMessages): {"AuthorizationSetupReq":{"Header":{"SessionID":"629F4C9D851C2ADB","TimeStamp":1784643691}}}
secc-1   | INFO    2026-07-21 14:21:31,119 - iso15118.shared.comm_session (235): AuthorizationSetupReq received
secc-1   | INFO    2026-07-21 14:21:31,215 - iso15118.shared.comm_session (431): Sent AuthorizationSetupRes
secc-1   | INFO    2026-07-21 14:21:31,294 - iso15118.shared.exi_codec (302): Decoded message (ns=urn:iso:std:iso:15118:-20:CommonMessages): {"AuthorizationReq":{"Header":{"SessionID":"629F4C9D851C2ADB","TimeStamp":1784643691},"SelectedAuthorizationService":"EIM","EIM_AReqAuthorizationMode":{}}}
secc-1   | INFO    2026-07-21 14:21:31,295 - iso15118.shared.comm_session (235): AuthorizationReq received
secc-1   | INFO    2026-07-21 14:21:31,295 - iso15118.shared.states (139): Entered state Authorization
secc-1   | INFO    2026-07-21 14:21:31,365 - iso15118.shared.comm_session (431): Sent AuthorizationRes
